Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2011-12,20122 (Spring 2012),PSYCH 203 A,PERS & INDIV DIFFS,"BROWN, JONATHON D",37,2,12,1,6,5,1,3,1,2,,1,,3,2.9
2011-12,20122 (Spring 2012),PSYCH 205 A,BEHAVIOR DISORDERS,"CHUN, DEBORAH Y.",60,5,4,8,10,7,5,4,5,1,2,1,2,6,2.6
2011-12,20122 (Spring 2012),PSYCH 209 A,FDMNTLS PSYCH RSCH,"LEU, JANXIN",195,32,47,36,24,22,8,8,5,2,1,,5,5,3.1
2011-12,20122 (Spring 2012),PSYCH 210 A,HUMAN SEXUALITY,"MCDERMOTT, LOIS J.",473,105,101,71,44,58,25,30,13,7,3,1,4,11,3.1
2011-12,20122 (Spring 2012),PSYCH 250 A,RACISM&MINORITY GRP,"RUDNICK, DENNIS",91,43,28,9,1,3,2,1,1,,,,1,2,3.6
2011-12,20122 (Spring 2012),PSYCH 305 A,ABNORMAL PSYCHOLOGY,"CHUN, DEBORAH Y.",99,33,28,18,9,3,3,,1,,,,2,2,3.4
2011-12,20122 (Spring 2012),PSYCH 306 A,DEVELOPMENTAL PSYCH,"REPACHOLI, BETTY",101,17,31,16,14,15,5,3,,,,,,,3.2
2011-12,20122 (Spring 2012),PSYCH 315 A,UNDRSTD STATS PSYCH,"NELSON, DANA C",95,32,29,9,5,8,1,6,1,,2,,1,1,3.3
2011-12,20122 (Spring 2012),PSYCH 318 A,STAT INFERENCE,"LOFTUS, GEOFFREY R",65,18,13,3,4,6,7,2,2,2,2,2,3,1,2.9
2011-12,20122 (Spring 2012),PSYCH 330 A,LAB ANIMAL BEHAVIOR,"SUSSMAN, ADRIENNE F",23,5,7,1,4,4,1,,,1,,,,,3.2
2011-12,20122 (Spring 2012),PSYCH 331 A,LAB HUMAN PERFORM,"LECLERC, JARED E",24,,16,4,2,1,,,,,,,,1,3.4
2011-12,20122 (Spring 2012),PSYCH 332 A,NEUROBEHAVIORAL LAB,"DIAZ, JAIME",30,23,4,2,1,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),PSYCH 332 B,NEUROBEHAVIORAL LAB,"DIAZ, JAIME",29,27,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),PSYCH 333 A,SEN/PERCPT PROCESS,"BUCK, STEVEN L.",69,7,23,10,17,6,3,,,,,1,2,,3.1
2011-12,20122 (Spring 2012),PSYCH 334 A,LAB-SOCIAL PSYCH,"DRURY, BENJAMIN J",19,8,7,1,2,1,,,,,,,,,3.6
2011-12,20122 (Spring 2012),PSYCH 345 A,SOCIAL PSYCHOLOGY,"BROWN, JONATHON D",95,7,18,17,18,15,10,4,2,1,,1,,2,3.0
2011-12,20122 (Spring 2012),PSYCH 350 A,H-RSCH SEM IN PSYCH,"BASSOK, MIRIAM",17,17,,,,,,,,,,,,,4.0
2011-12,20122 (Spring 2012),PSYCH 355 A,COGNITIVE PSYCH,"PICKRELL, JACQUELINE E.",108,58,19,12,7,5,1,1,1,,1,,2,1,3.5
2011-12,20122 (Spring 2012),PSYCH 357 A,PSYCHOBIOL OF WOMEN,"KENNEY, NANCY J",102,31,22,18,9,9,5,,1,2,1,,3,1,3.2
2011-12,20122 (Spring 2012),PSYCH 400 A,LEARNING,"VOORHIES, ANN C",32,18,9,4,,1,,,,,,,,,3.7
2011-12,20122 (Spring 2012),PSYCH 410 A,CHLD/ADDL BEHAV DIS,"QUAMMA, JULIE P",27,7,7,7,2,2,,1,,,,,,1,3.4
2011-12,20122 (Spring 2012),PSYCH 414 A,COGNITIVE DEVLOPMNT,"LOUCKS, JEFF",16,2,3,1,,3,,,1,,,,2,4,2.6
2011-12,20122 (Spring 2012),PSYCH 419 A,ZOO ANIMAL BEHAVIOR,"HA, RENEE ROBINETTE",26,11,4,5,2,1,1,1,,,,,1,,3.3
2011-12,20122 (Spring 2012),PSYCH 420 A,DRUGS & BEHAVIOR,"DIAZ, JAIME",33,25,6,2,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),PSYCH 426 A,NEUROBIOL LEARN&MEM,"PENNER, MARSHA R",29,5,8,2,1,2,3,2,,,,1,,5,3.1
2011-12,20122 (Spring 2012),PSYCH 448 D,SMNR IN PSYCHOLOGY,"CHUN, DEBORAH Y.",18,13,1,1,2,,1,,,,,,,,3.7
2011-12,20122 (Spring 2012),PSYCH 448 E,SMNR IN PSYCHOLOGY,"LARIMER, MARY E",15,8,7,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),PSYCH 459 A,EVOLUTIONARY PSYCH,"BEECHER, MICHAEL D",22,9,5,5,2,1,,,,,,,,,3.6
2011-12,20122 (Spring 2012),PSYCH 461 A,ASIAN AMER PSYCH,"WANG, JENNIFER",24,14,9,,,1,,,,,,,,,3.8
2011-12,20122 (Spring 2012),PSYCH 463 A,IMPLIC & UNC COGNIT,"GREENWALD, ANTHONY G",26,6,5,4,10,,,,,,,,,1,3.4
2011-12,20122 (Spring 2012),PSYCH 470 A,PSYCH AND MUSIC,"COVEY, ELLEN",33,15,7,4,5,,,,1,,,,,1,3.5
2011-12,20122 (Spring 2012),PSYCH 490 A,STRESS MANAGEMENT,"GROW, JOEL C",36,32,3,,,,,,,,,,,1,3.9
2011-12,20122 (Spring 2012),Q SCI 190 A,QUANT ANLYS ENV SCI,"BARE, BRUCE",39,9,10,4,3,,,2,3,,1,3,4,,2.7
2011-12,20122 (Spring 2012),Q SCI 292 A,ANLYS FOR BIOL 2,"GANGULY, INDRONEIL",67,28,14,7,7,4,1,1,2,,,,2,1,3.4
2011-12,20122 (Spring 2012),Q SCI 381 A,INTRO PROBABIL&STAT,"GREULICH, FRANCIS",28,4,6,4,2,3,2,2,4,,,,,1,2.9
2011-12,20122 (Spring 2012),Q SCI 381 C,INTRO PROBABIL&STAT,"BARE, BRUCE",143,29,43,18,5,11,5,5,4,2,5,3,9,4,2.9
2011-12,20122 (Spring 2012),Q SCI 483 A,STAT REGRES IN ECOL,"SKALSKI, JOHN R",47,7,9,10,6,10,3,2,,,,,,,3.1
2011-12,20122 (Spring 2012),QMETH 201 A,INTRO TO STAT MTHDS,"STUDER-ELLIS, ERICH",112,11,28,21,7,20,7,5,9,,1,,1,2,3.0
2011-12,20122 (Spring 2012),QMETH 201 B,INTRO TO STAT MTHDS,"STUDER-ELLIS, ERICH",117,8,15,15,27,14,10,9,8,5,2,1,2,1,2.7
2011-12,20122 (Spring 2012),REHAB 502 A,PEDIATRIC PT,"MCCOY, SARAH WESTCOTT",40,13,21,6,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 503 A,LIFESPAN III: ELDERS,"MATSUDA, PATRICIA",40,25,15,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),REHAB 507 A,PT PROCEDURES III,"MCGOUGH, ELLEN L.",43,18,22,3,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 517 A,PT SEMINAR,"KARTIN, DEBORAH",43,5,38,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 525 A,EXERCISE PHYSIOLOGY,"MORITZ, CHET T",43,20,15,8,,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),REHAB 548 A,KINESIOLOGY REHAB,"GUTHRIE, MARK R",37,5,19,4,9,,,,,,,,,,3.5
2011-12,20122 (Spring 2012),REHAB 548 B,KINESIOLOGY REHAB,"GUTHRIE, MARK R",43,6,24,4,8,1,,,,,,,,,3.5
2011-12,20122 (Spring 2012),REHAB 569 A,PROS ORTH FOR PTS,"MCCOY, MOLLY F.",40,15,23,2,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 576 A,OT IN PEDS,"JIRIKOWIC, TRACY L.",26,5,20,1,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 577 A,OT IN GERIATRICS,"POWELL, JANET M.",26,6,19,,1,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),REHAB 579 A,THER COMM,"FOGELBERG, DONALD J",27,2,14,10,1,,,,,,,,,,3.5
2011-12,20122 (Spring 2012),RELIG 212 A,INTRO TO THE QUR'AN,"GABBAY, ALYSSA",39,16,13,4,3,2,,,,,,,,1,3.6
2011-12,20122 (Spring 2012),RELIG 220 A,INTRO NEW TESTAMENT,"WILLIAMS, MICHAEL A",133,9,44,22,21,17,9,4,2,,3,,,2,3.1
2011-12,20122 (Spring 2012),RELIG 320 A,COMPAR STUDY DEATH,"GREEN, JAMES W",55,35,18,1,1,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),RELIG 354 A,BUDDHISM,"TOKUNO, KYOKO",55,1,17,9,13,4,4,1,3,,,,,3,3.1
2011-12,20122 (Spring 2012),RELIG 380 A,"RELIG,NATURE&STUDY","NOVETZKE, CHRISTIAN L",50,27,10,7,1,,1,,,1,,,1,2,3.6
2011-12,20122 (Spring 2012),RELIG 400 A,JEWISH MYSTCAL TRAD,"JAFFEE, MARTIN S",15,7,5,1,2,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),RELIG 490 C,SPECIAL TOPICS,"WELLMAN, JAMES K.",16,3,6,3,1,1,,,,,,,,2,3.5
2011-12,20122 (Spring 2012),RES D 510 A,P-DENTAL MATRLS SCI,"CHUNG, KWOK-HUNG",55,1,15,18,11,8,1,1,,,,,,,3.2
2011-12,20122 (Spring 2012),RES D 511 A,P-APPLIED MATERIALS,"JOHNSON, GLEN H",55,,3,15,20,13,4,,,,,,,,2.9
2011-12,20122 (Spring 2012),RES D 517 A,P-FUNCT OCCLUSION,"DOGAN, SAMI",55,2,19,14,16,4,,,,,,,,,3.3
2011-12,20122 (Spring 2012),RES D 519 A,P-OPERATIVE DENT,"CHAN, DANIEL C. N.",55,45,9,1,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),RES D 522 A,P-INTRO OPER DENT,"AW, TAR-CHEE",62,14,24,18,5,1,,,,,,,,,3.5
2011-12,20122 (Spring 2012),RES D 527 A,P-FIXED PROS,"TOWNSEND, JOHN D",62,6,21,24,11,,,,,,,,,,3.4
2011-12,20122 (Spring 2012),RES D 533 A,ADV RESTORATIVE,"KRONSTROM, MATS H.",62,5,15,9,4,17,3,9,,,,,,,3.0
2011-12,20122 (Spring 2012),RES D 630 A,P-RES DENT CLINIC,"VERHOEF, DOUGLAS",62,20,15,17,6,4,,,,,,,,,3.5
2011-12,20122 (Spring 2012),RES D 640 A,P-ADV RES D CLINIC,"VERHOEF, DOUGLAS",63,20,18,14,7,4,,,,,,,,,3.5
2011-12,20122 (Spring 2012),RUSS 103 B,FIRST-YEAR RUSSIAN,"OTT, TIM",16,7,2,2,2,2,1,,,,,,,,3.4
2011-12,20122 (Spring 2012),RUSS 103 C,FIRST-YEAR RUSSIAN,"ZAITSEVA, VALENTINA",21,10,6,1,,2,1,,,,,,,1,3.6
2011-12,20122 (Spring 2012),RUSS 203 A,SECOND-YEAR RUSS,"ZAITSEVA, VALENTINA",17,6,4,2,1,3,1,,,,,,,,3.4
2011-12,20122 (Spring 2012),RUSS 230 A,RUSS MASTERPIECES,"HENRY, BARBARA J",16,8,4,2,1,,,,1,,,,,,3.6
2011-12,20122 (Spring 2012),RUSS 303 A,3RD YR RUSSIAN,"POLACK, ZOYA M",18,10,3,3,1,,,,,,,,,1,3.7
2011-12,20122 (Spring 2012),RUSS 323 A,"LIT & CULT, 20TH C","DIMENT, GALYA",28,6,14,4,2,1,,,,,,1,,,3.4
2011-12,20122 (Spring 2012),RUSS 324 A,RUSSIAN FOLK LIT,"HENRY, BARBARA J",34,16,15,2,,1,,,,,,,,,3.7
2011-12,20122 (Spring 2012),RUSS 403 A,ADVANCED RUSS,"WEST, JAMES D",14,9,2,1,1,,,,,,,,,1,3.7
2011-12,20122 (Spring 2012),SCAND 155 A,DANISH LIT/CLT HIST,"OHRBECK, DESIREE",34,20,8,2,1,3,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SCAND 232 A,ANDERSEN FAIRY TALE,"STECHER, MARIANNE T.",157,21,98,25,4,4,,,1,1,1,,1,1,3.5
2011-12,20122 (Spring 2012),SCAND 381 A,HST SCAND SNCE 1720,"LEIREN, TERJE I",19,5,5,5,1,2,1,,,,,,,,3.4
2011-12,20122 (Spring 2012),SCAND 490 B,SPECIAL TOPICS,"SJAVIK, JAN I",24,21,3,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SIS 123 A,INTRO GLOBALIZATION,"NEWHOUSE, LEONIE SIMONE",16,,7,4,1,1,,,1,,,,,2,3.3
2011-12,20122 (Spring 2012),SIS 201 A,MAKING OF 21ST CENT,"BACHMAN, DAVID M",143,13,49,31,14,10,4,6,5,1,,,4,6,3.1
2011-12,20122 (Spring 2012),SIS 202 A,CULTURAL INTERACTNS,"ROBINSON, CABEIRI DEBERGH",183,9,83,56,16,7,1,2,2,,,,2,5,3.3
2011-12,20122 (Spring 2012),SIS 216 A,SCIENCE AND SOCIETY,"CHALOUPKA, VLADIMIR",38,5,16,8,5,3,,,,,,,,1,3.4
2011-12,20122 (Spring 2012),SIS 330 A,POL ECON OF DEVELOP,"LATSCH, WOLFRAM W.",60,21,25,7,3,3,1,,,,,,,,3.6
2011-12,20122 (Spring 2012),SIS 335 A,DEVELOPING WORLD,"HANNAH, JOE",19,11,6,2,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SIS 337 A,COLLECTIVE VIOLENCE,"CHIROT, DANIEL",39,13,15,3,3,4,,,,,,,,1,3.5
2011-12,20122 (Spring 2012),SIS 423 A,AMER FOREIGN POLICY,"WALL, PHILIP",23,3,20,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SIS 427 A,WEAPONS MASS DESTR,"UNDEM, HALVOR A",16,2,3,3,3,4,,,1,,,,,,3.1
2011-12,20122 (Spring 2012),SIS 449 A,SOC CHANGE E ASIA,"SORENSEN, CLARK W",14,1,7,5,1,,,,,,,,,,3.5
2011-12,20122 (Spring 2012),SIS 476 A,COMP INTL POL ECON,"POZNANSKI, KAZIMIERZ",28,10,13,2,3,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SIS 498 A,READINGS IN INTL ST,"LORENZ, FREDERICK MICHAEL",15,4,10,1,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SIS 498 C,READINGS IN INTL ST,"RADNITZ, SCOTT B.",15,1,10,4,,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),SIS 498 D,READINGS IN INTL ST,"WARREN, JONATHAN W.",15,6,7,1,,1,,,,,,,,,3.6
2011-12,20122 (Spring 2012),SIS 498 E,READINGS IN INTL ST,"PIANKO, NOAM",14,,7,5,2,,,,,,,,,,3.4
2011-12,20122 (Spring 2012),SIS 498 F,READINGS IN INTL ST,"MONTGOMERY, SCOTT L.",16,6,10,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SISEA 213 A,KOREA/WRLD POLITICS,"HA, YONG-CHOOL",30,3,10,11,4,1,,,1,,,,,,3.3
2011-12,20122 (Spring 2012),SISEA 435 A,GOVT & POL JAPAN,"PEKKANEN, ROBERT J.",17,2,3,,2,7,1,2,,,,,,,2.9
2011-12,20122 (Spring 2012),SISEA 437 A,JAPAN INTL RELATNS,"PEKKANEN, SAADIA M.",20,2,7,2,,1,3,1,1,,,,,3,3.1
2011-12,20122 (Spring 2012),SISEA 440 A,POSTWAR JAPAN,"PYLE, KENNETH B",28,2,11,3,3,5,,1,,,,,,3,3.2
2011-12,20122 (Spring 2012),SISEA 444 A,REPRESENT MOD CHINA,"ANAGNOST, ANN S.",13,7,6,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SISEA 449 A,GOVT & POL-CHINA,"WHITING, SUSAN H",18,,9,4,,3,,1,,,,,,1,3.2
2011-12,20122 (Spring 2012),SISEA 456 A,CHINESE SOC HISTORY,"DONG, MADELEINE YUE",20,2,8,4,1,3,,,,,,,,2,3.3
2011-12,20122 (Spring 2012),SISEA 482 A,JAPAN BUSINESS/TECH,"ANCHORDOGUY, MARIE C",19,3,5,4,3,2,,1,,,,,,1,3.2
2011-12,20122 (Spring 2012),SISEA 490 C,SPECIAL TOPICS,"ARAI, ANDREA GEVURTZ",28,4,22,1,,,,,,,,,,1,3.6
2011-12,20122 (Spring 2012),SISJE 195 A,HOLOCAUST FILM,"BLOCK, RICHARD",38,4,17,9,2,3,,,,,,,1,2,3.3
2011-12,20122 (Spring 2012),SISJE 452 A,BIBL SONG OF SONGS,"MARTIN, GARY D.",16,12,1,1,1,1,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SISLA 280 A,INDIGNOUS ENCONTERS,"GARCIA, MARIAELENA",24,14,7,2,,,1,,,,,,,,3.7
2011-12,20122 (Spring 2012),SISLA 355 A,SOC CHANGE LAT AMER,"WARREN, JONATHAN W.",24,3,10,6,2,1,,1,,,,,,1,3.4
2011-12,20122 (Spring 2012),SISME 420 A,INTL HUMANITARN LAW,"LORENZ, FREDERICK MICHAEL",27,9,11,1,2,2,,,,,,,,2,3.6
2011-12,20122 (Spring 2012),SISME 490 B,SPECIAL TOPICS,"KASABA, RESAT",19,9,3,2,2,2,,,,,,,,1,3.5
2011-12,20122 (Spring 2012),SISSE 221 A,HISTORY OF SE ASIA,"GIEBEL, CHRISTOPH",35,3,16,10,,2,,,,,,1,,3,3.4
2011-12,20122 (Spring 2012),SLAV 223 A,RUSS/EAST EURO CIN,"CRNKOVIC, GORDANA P",50,9,24,10,2,3,,1,1,,,,,,3.4
2011-12,20122 (Spring 2012),SLAV 426 A,WAYS OF FEELING,"DZIWIREK, KATARZYNA A",24,4,6,2,3,4,2,1,,,,,2,,2.9
2011-12,20122 (Spring 2012),SMEA 103 A,SOCIETY & THE OCEANS,"JENKINS, LEKELIA (KIKI)",34,3,10,6,5,3,2,2,2,1,,,,,3.0
2011-12,20122 (Spring 2012),SMEA 485 A,PACIFIC TOURISM,"MILLER, MARC L",17,13,3,,,,,,,,,,,1,3.9
2011-12,20122 (Spring 2012),SMEA 502 B,APPLIED MAR AFFAIRS,"FLUHARTY, DAVID L",27,6,21,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SMEA 507 A,INTL ORGS OCEAN MGT,"DOLSAK, NIVES",16,15,1,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC 110 B,SURVEY SOCIOLOGY,"WENDER, JONATHAN M",189,7,35,41,41,26,17,8,4,1,3,,2,4,2.9
2011-12,20122 (Spring 2012),SOC 201 A,INTR TPCS SOCIOLOGY,"BURSTEIN, PAUL",134,22,45,33,16,6,3,4,,1,,1,1,2,3.3
2011-12,20122 (Spring 2012),SOC 221 A,STAT FOR SOC SCI,"CLARK, SAMUEL J.",62,1,13,14,16,5,6,,,1,,1,1,4,3.0
2011-12,20122 (Spring 2012),SOC 222 A,SOCIOLOGY OF SPORT,"WEIS, JOSEPH G",249,25,90,67,36,13,2,3,3,3,1,1,,5,3.3
2011-12,20122 (Spring 2012),SOC 247 A,CONTEMP SOC MVMNTS,"PETTINICCHIO, DAVID",54,6,24,5,2,6,3,1,2,,,1,3,1,3.0
2011-12,20122 (Spring 2012),SOC 271 A,SOC DEVE/SOC CNTRL,"WEIS, JOSEPH G",124,10,16,12,18,21,15,9,4,4,5,2,5,3,2.6
2011-12,20122 (Spring 2012),SOC 300 A,FOUND SOC INQUIRY,"PETTIT, ELIZABETH M.",135,49,30,11,16,9,2,6,2,,,,5,5,3.3
2011-12,20122 (Spring 2012),SOC 316 A,SOCIOLOGICAL THEORY,"PFAFF, STEVEN J.",99,7,11,10,14,15,9,8,7,4,3,1,6,4,2.5
2011-12,20122 (Spring 2012),SOC 344 A,COGNITIVE SOC PSYCH,"ROBBINS, BLAINE G.",58,13,12,11,7,7,2,5,,,1,,,,3.2
2011-12,20122 (Spring 2012),SOC 355 A,SOC CHANGE LAT AMER,"WARREN, JONATHAN W.",22,1,7,,6,3,1,,3,1,,,,,2.9
2011-12,20122 (Spring 2012),SOC 360 A,INTRO SOC STRAT,"LIND, JONATHAN",59,9,18,6,11,9,4,1,,,,1,,,3.2
2011-12,20122 (Spring 2012),SOC 360 B,INTRO SOC STRAT,"MAROTO, MICHELLE",45,4,13,8,10,3,3,2,,,,,2,,3.0
2011-12,20122 (Spring 2012),SOC 362 A,AMER RACE/ETHN RELS,"HARRIS, ALEXES",186,27,48,35,21,29,7,3,3,3,3,2,,5,3.1
2011-12,20122 (Spring 2012),SOC 371 A,CRIMINOLOGY,"MATSUEDA, ROSS L.",149,17,27,19,18,14,8,9,12,5,6,5,3,6,2.7
2011-12,20122 (Spring 2012),SOC 371 B,CRIMINOLOGY,"KNAPHUS, EMILY",54,4,14,10,4,4,2,3,1,2,,,6,4,2.7
2011-12,20122 (Spring 2012),SOC 377 A,AMER JEWISH CMMUNTY,"BURSTEIN, PAUL",18,3,7,2,1,4,1,,,,,,,,3.3
2011-12,20122 (Spring 2012),SOC 487 A,SOC OF GENDER & SEX,"BRINES, JULIE E",24,7,14,1,1,,,,,,,1,,,3.6
2011-12,20122 (Spring 2012),SOC 494 A,PRACTICUM,"FERNANDES, APRIL",25,3,5,5,1,4,1,,2,,2,1,1,,2.7
2011-12,20122 (Spring 2012),SOC 494 B,PRACTICUM,"FERNANDES, APRIL",21,1,3,1,5,2,3,,3,2,1,,,,2.5
2011-12,20122 (Spring 2012),SOC 494 D,PRACTICUM,"CORCORAN, KATIE",15,4,7,3,1,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),SOC 506 A,MTHD QUANT TECH SOC,"MCCORMICK, TYLER H.",18,,18,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 506 A,SOC WELF RES & EVAL,"SOHNG, SUE",29,21,8,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 506 B,SOC WELF RES & EVAL,"WAITHAKA, ERIC",24,6,13,4,1,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),SOC W 506 C,SOC WELF RES & EVAL,"HARACHI, TRACY W",24,6,13,3,1,,,,,,,,,1,3.7
2011-12,20122 (Spring 2012),SOC W 506 D,SOC WELF RES & EVAL,"STUBER, JENNIFER",24,15,6,1,1,,,,,,,,,1,3.8
2011-12,20122 (Spring 2012),SOC W 510 A,PR 1-INTRO SW PRAC,"HAITHCOX, PAMELA G.",19,10,9,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 510 B,PR 1-INTRO SW PRAC,"RANCHIGODA, TANYA D",23,16,6,,1,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 510 C,PR 1-INTRO SW PRAC,"ROBERSON, KENDRA C.",27,14,5,3,2,2,,,1,,,,,,3.5
2011-12,20122 (Spring 2012),SOC W 513 A,PR 4-COMM CHNG PRAC,"MOYLAN, CARRIE",21,16,5,,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 513 B,PR 4-COMM CHNG PRAC,"SCHAEFER, AIKO",26,4,20,2,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 513 C,PR 4-COMM CHNG PRAC,"HAY, LESLIE ANN",21,7,13,,1,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 513 D,PR 4-COMM CHNG PRAC,"MACY, JANE",21,5,15,1,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 513 E,PR 4-COMM CHNG PRAC,"WILLIAMS, ROBIN ARNOLD",21,20,1,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 513 F,PR 4-COMM CHNG PRAC,"KRUZICH, JEAN",20,3,15,1,1,,,,,,,,,,3.6
2011-12,20122 (Spring 2012),SOC W 513 G,PR 4-COMM CHNG PRAC,"PALMANTEER-HOLDER, NANCY LYNN",27,20,4,1,2,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 513 H,PR 4-COMM CHNG PRAC,"GARCIA, JAMES",25,8,17,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 546 A,TRAUMA & RECOVERY,"LUSTBADER, WENDY",26,4,22,,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 548 B,ADVANCED PRACTICE I,"HETHERINGTON, ZYNOVIA",14,13,1,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 548 C,ADVANCED PRACTICE I,"ETNYRE, WILLIAM S",38,36,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 551 A,"HR MNGMNT, HUM SVCS","HAITHCOX, PAMELA G.",22,20,1,,,,,,,,,,,1,3.9
2011-12,20122 (Spring 2012),SOC W 554 A,"PEOPLE, PLACE, EQTY","KEMP, SUSAN P.",24,17,6,,,,,,,,,,,1,3.8
2011-12,20122 (Spring 2012),SOC W 555 A,GLOBAL PERSPECTIVES,"FARWELL, NANCY",20,11,7,1,,,,,,,,,,1,3.8
2011-12,20122 (Spring 2012),SOC W 557 A,CRITICL ILLNSS CARE,"SHULTZ, BONNIE",29,27,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 570 A,ANTI-RACIST ORGNZNG,"WINN, SCOTT",19,16,2,1,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 576 A,PRSNS W DISABILTIES,"KESSINGER, JERRY",19,16,1,2,,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC W 580 A,GRANT WRITING,"LEGGETT, KARL E",45,30,9,1,1,,,,,,1,,2,1,3.6
2011-12,20122 (Spring 2012),SOC W 581 A,HISTORICAL TRAUMA,"BELTRAN, RAMONA",22,20,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 581 B,HISTORICAL TRAUMA,"BELTRAN, RAMONA",19,17,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 584 A,MLTICL TRL MNTL HLTH,"AISENBERG, GINO",23,22,1,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 593 A,CHEMDEP:ASSESS/CNSL,"JACKSON, THOMAS R.",25,23,2,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC W 595 A,CO-OCCUR DISORDERS,"EVANS, LYNN VICTORIA",27,13,8,4,2,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC W 598 C,INTEGRATIVE SMNR,"STOREY, CHRISTOPHER",23,21,1,,1,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC WF 200 A,INTRO SOC WLFR PRAC,"FARWELL, NANCY",46,12,15,9,3,3,,1,1,1,,,1,,3.3
2011-12,20122 (Spring 2012),SOC WF 312 A,SOCL WELF PRAC III,"AISENBERG, GINO",23,15,8,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC WF 312 B,SOCL WELF PRAC III,"BALASSONE, MARY LOU",23,6,16,1,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC WF 315 A,COMM SERV LEARNING,"MAGLALANG, JENNIFER M",46,37,9,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC WF 404 A,CLTRL DIVRSTY/JSTCE,"GOODWIN, ELIZABETH",23,15,6,1,1,,,,,,,,,,3.8
2011-12,20122 (Spring 2012),SOC WF 404 B,CLTRL DIVRSTY/JSTCE,"TERRY-HAYS, DEBORAH",23,8,13,2,,,,,,,,,,,3.7
2011-12,20122 (Spring 2012),SOC WF 443 A,FAC INTGP DIALOG II,"TIMBANG, NORMA",13,12,1,,,,,,,,,,,,3.9
2011-12,20122 (Spring 2012),SOC WF 460 A,CHEMICAL DEPENDENCY,"JACKSON, THOMAS R.",39,19,11,5,3,1,,,,,,,,,3.7
