Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2013-14,20142 (Spring 2014),SOC W 510 C,PR 1-INTRO SW PRAC,"ROBERSON, KENDRA C.",22,11,11,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC W 513 A,PR 4-COMM CHNG PRAC,"BARTON, VAUGHNETTA J.",24,13,9,1,,1,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 513 B,PR 4-COMM CHNG PRAC,"HAY, LESLIE ANN",20,5,13,2,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 513 C,PR 4-COMM CHNG PRAC,"SCHAEFER, AIKO",23,7,14,2,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 513 D,PR 4-COMM CHNG PRAC,"GANTI, ANJULIE",22,12,9,1,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC W 513 E,PR 4-COMM CHNG PRAC,"GRAN-O'DONNELL, STELLA M",21,19,2,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 513 F,PR 4-COMM CHNG PRAC,"BRINER, LESLIE",23,23,,,,,,,,,,,,,4.0
2013-14,20142 (Spring 2014),SOC W 513 G,PR 4-COMM CHNG PRAC,"TIMBANG, NORMA",23,22,,,1,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 513 H,PR 4-COMM CHNG PRAC,"RUSSELL, RANDALL",21,15,6,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 517 A,INDV FAM COM PREV,"HAGGERTY, KEVIN",19,9,8,2,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 518 A,MACRO PRACT PREV,"STUBER, JENNIFER",13,2,7,2,,,,,,,,,,2,3.6
2013-14,20142 (Spring 2014),SOC W 531 A,CHILD MENTAL HLTH,"VESNESKI, WILLIAM",26,26,,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 542 A,MH RECOVERY PRACTICE,"ALLEN, ANN M",15,9,6,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC W 546 A,TRAUMA & RECOVERY,"LUSTBADER, WENDY",23,10,12,,,,,,,,,,,1,3.8
2013-14,20142 (Spring 2014),SOC W 551 A,"HR MNGMNT, HUM SVCS","PHAM, LAN",19,15,4,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 555 A,GLOBAL PERSPECTIVES,"FARWELL, NANCY",20,8,8,3,1,,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SOC W 557 A,CRITICL ILLNSS CARE,"SHULTZ, BONNIE",29,27,2,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 562 A,ADV PRACT I: H/MH,"ETNYRE, WILLIAM S",23,16,7,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC W 570 A,ANTI-RACIST ORGNZNG,"WINN, SCOTT",20,17,3,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 576 A,PRSNS W DISABILTIES,"MONTS, BRANDI",20,17,2,,1,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 580 A,GRANT WRITING,"LEGGETT, KARL E",29,25,1,,,,,,,,,,,3,3.9
2013-14,20142 (Spring 2014),SOC W 584 A,MLTICL TRL MNTL HLTH,"AISENBERG, GINO",13,13,,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 588 A,SOC WORK IN SCHOOLS,"PULKKINEN, ANN L.",18,16,2,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 593 A,CHEMDEP:ASSESS/CNSL,"JACKSON, THOMAS R.",29,21,8,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC W 595 A,CO-OCCUR DISORDERS,"EVANS, LYNN VICTORIA",19,18,1,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC WF 200 A,INTRO SOC WLFR PRAC,"BALASSONE, MARY LOU",69,25,24,8,5,3,,1,1,,,,1,1,3.5
2013-14,20142 (Spring 2014),SOC WF 215 C,INTERGROUP DIALOGUES,"NAGDA, BIREN (RATNESH)",13,5,1,5,1,1,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SOC WF 215 D,INTERGROUP DIALOGUES,"NAGDA, BIREN (RATNESH)",14,5,4,4,1,,,,,,,,,,3.6
